plot,date,absolute_wc_0_50cm_l_m2,absolute_wc_50_100cm_l_m2,absolute_wc_100_250cm_l_m2,absolute_wc_250_400cm_l_m2,absolute_wc_0_400cm_l_m2,ew_0_400_cm,carbon_biomass_MgC_ha,lower_95ci_carbon_biomass_MgC_ha,upper_95ci_carbon_biomass_MgC_ha,wc_per_biomass_mm_MgC,lower_95ci_wc_per_biomass_mm_MgC,upper_95ci_wc_per_biomass_mm_MgC
Control,2023-10-06,98.73618020833337,94.3782,306.405575,203.85984999999997,703.3798052083333,0.3441942215270826,256.5877988302881,233.1501653256598,279.8730728005987,2.741283133550562,3.0168531265069682,2.513209999696793
Control,2023-10-07,102.305675,89.82842604166666,285.436125,207.95144999999997,685.5216760416666,0.31759377417179196,256.5877988302881,233.1501653256598,279.8730728005987,2.671684620885202,2.940258159732131,2.449402042082414
Control,2023-10-08,102.18846770833332,89.77515,285.34022812499995,207.95144999999997,685.2552958333333,0.31719698945587177,256.5877988302881,233.1501653256598,279.8730728005987,2.670646456913463,2.9391156333780915,2.448450252738524
Control,2023-10-09,101.98601875,89.77515,284.956640625,207.95144999999997,684.6692593749999,0.3163240630808472,256.5877988302881,233.1501653256598,279.8730728005987,2.668362496175638,2.936602075399203,2.446356316181966
Control,2023-10-10,101.91143229166669,89.77515,284.06160312500003,207.95144999999997,683.6996354166668,0.3148797667148979,256.5877988302881,233.1501653256598,279.8730728005987,2.66458357931851,2.9324432794704984,2.4428918029702076
Control,2023-10-11,101.794225,89.77515,283.901775,207.599828125,683.070978125,0.3139433547853261,256.5877988302881,233.1501653256598,279.8730728005987,2.662133512345206,2.929746917274964,2.440645580118627
Control,2023-10-12,101.794225,89.77515,283.901775,207.95144999999997,683.4225999999999,0.31446711061034055,256.5877988302881,233.1501653256598,279.8730728005987,2.6635038887879006,2.931255052062296,2.4419019420525614
Control,2023-10-13,101.762259375,89.77515,283.901775,207.408034375,682.8472187499999,0.313610055623953,256.5877988302881,233.1501653256598,279.8730728005987,2.6612614546089453,2.92878719513757,2.439846077069759
Control,2023-10-14,101.67701770833332,89.73252916666665,283.901775,207.184275,682.4955968749999,0.3130862997989383,256.5877988302881,233.1501653256598,279.8730728005987,2.6598910781662504,2.9272790603502377,2.4385897151358247
Control,2023-10-15,101.64505208333334,89.71121874999999,283.901775,206.99248125,682.2505270833333,0.31272125786029176,256.5877988302881,233.1501653256598,279.8730728005987,2.658935967312251,2.926227936104521,2.437714068939446
Control,2023-10-16,101.5385,89.73252916666665,283.77391250000005,206.672825,681.7177666666666,0.3119276884284514,256.5877988302881,233.1501653256598,279.8730728005987,2.656859639368774,2.923942883396441,2.4358104902516664
Control,2023-10-17,101.49587916666668,89.59401145833331,283.1665656249999,206.4171,680.6735562499999,0.3103722923420441,256.5877988302881,233.1501653256598,279.8730728005987,2.652790036599558,2.9194641800886045,2.4320794760236177
Control,2023-10-18,101.51718958333332,89.48745937499999,283.1346,206.4171,680.5563489583333,0.31019770706703925,256.5877988302881,233.1501653256598,279.8730728005987,2.652333244451993,2.9189614684928267,2.4316606887123062
Control,2023-10-19,101.38932708333334,89.48745937499999,283.1346,206.4171,680.4284864583333,0.31000725040339755,256.5877988302881,233.1501653256598,279.8730728005987,2.6518349257455585,2.918413055842888,2.431203829827239
Control,2023-10-20,101.38932708333334,89.33828645833334,283.00673749999993,206.4171,680.1514510416666,0.30959459429884056,256.5877988302881,233.1501653256598,279.8730728005987,2.6507552352149504,2.9172248284346862,2.4302139689095936
Control,2023-10-21,101.22949895833332,89.2637,282.49528749999996,206.4171,679.4055864583332,0.3084835970942639,256.5877988302881,233.1501653256598,279.8730728005987,2.647848376094082,2.914025754643374,2.4275489587467014
Control,2023-10-22,101.17622291666667,89.2637,282.367425,206.4171,679.2244479166667,0.30821378348743833,256.5877988302881,233.1501653256598,279.8730728005987,2.6471424245933,2.9132488367226275,2.426901741992857
Control,2023-10-23,101.12294687499998,89.2637,282.335459375,206.4171,679.13920625,0.3080868123783439,256.5877988302881,233.1501653256598,279.8730728005987,2.6468102121223436,2.912883228289335,2.4265971694028123
Control,2023-10-24,101.02705,89.2637,281.76007812499995,206.4171,678.467928125,0.30708691489422485,256.5877988302881,233.1501653256598,279.8730728005987,2.644194038913562,2.910004061877154,2.4241986602562093
Control,2023-10-25,101.02705,89.2637,282.143665625,206.4171,678.8515156249999,0.3076582848851499,256.5877988302881,233.1501653256598,279.8730728005987,2.6456889950328657,2.9116492998269714,2.425569236911411
Control,2023-10-26,101.02705,89.2637,281.66418125000007,206.161375,678.1163062500001,0.3065631590692104,256.5877988302881,233.1501653256598,279.8730728005987,2.6428236624708674,2.9084959270898216,2.4229422983222753
Control,2023-10-27,100.90984270833331,89.2637,281.60025,206.385134375,678.1589270833333,0.30662664462375744,256.5877988302881,233.1501653256598,279.8730728005987,2.6429897687063453,2.9086787313064675,2.423094584617297
Control,2023-10-28,100.83525625,89.2637,281.60025,205.84171875,677.540925,0.3057061040828226,256.5877988302881,233.1501653256598,279.8730728005987,2.6405812282919117,2.906028070165095,2.4208864333394726
Control,2023-10-29,100.771325,89.2637,281.60025,205.64992499999997,677.2851999999999,0.3053251907555391,256.5877988302881,233.1501653256598,279.8730728005987,2.6395845908790423,2.9049312448652165,2.419972715569338
Control,2023-10-30,100.771325,89.2637,281.60025,205.64992499999997,677.2851999999999,0.3053251907555391,256.5877988302881,233.1501653256598,279.8730728005987,2.6395845908790423,2.9049312448652165,2.419972715569338
Control,2023-10-31,100.76066979166666,89.2637,281.53631874999996,205.64992499999997,677.2106135416666,0.3052140910350814,256.5877988302881,233.1501653256598,279.8730728005987,2.6392939049669555,2.9046113374860854,2.419706214553049
Control,2023-11-01,100.71804895833334,89.167803125,281.53631874999996,205.64992499999997,677.0720958333333,0.3050077629828029,256.5877988302881,233.1501653256598,279.8730728005987,2.6387540597016512,2.9040172237819846,2.419211284094226
Control,2023-11-02,100.6434625,88.96535416666666,281.120765625,205.64992499999997,676.3795072916666,0.30397612272141045,256.5877988302881,233.1501653256598,279.8730728005987,2.636054833375131,2.9010466552614806,2.4167366318001124
Control,2023-11-03,100.611496875,88.94404374999999,280.161796875,205.58599375,675.3033312499999,0.30237311246909276,256.5877988302881,233.1501653256598,279.8730728005987,2.6318606509293065,2.896430848791159,2.4128914028507973
Control,2023-11-04,100.5156,88.94404374999999,280.225728125,205.170440625,674.8558125,0.30170651414634686,256.5877988302881,233.1501653256598,279.8730728005987,2.6301165354567857,2.8945114045163725,2.4112923967530624
Control,2023-11-05,100.49428958333333,88.96535416666666,280.353590625,204.914715625,674.72795,0.30151605748270516,256.5877988302881,233.1501653256598,279.8730728005987,2.6296182167503512,2.893962991866433,2.410835537867995
Control,2023-11-06,100.39839270833332,88.98666458333332,280.481453125,204.88275,674.7492604166666,0.3015478002599788,256.5877988302881,233.1501653256598,279.8730728005987,2.6297012698680904,2.8940543939747565,2.4109116810155062
Control,2023-11-07,100.355771875,88.99731979166665,280.32162500000004,204.914715625,674.5894322916668,0.30130972943042683,256.5877988302881,233.1501653256598,279.8730728005987,2.6290783714850474,2.893368878162333,2.410340607409173
Control,2023-11-08,100.259875,88.95469895833332,280.0659,204.914715625,674.1951895833333,0.30072248805086477,256.5877988302881,233.1501653256598,279.8730728005987,2.627541888806874,2.8916779391583534,2.408931959180215
Control,2023-11-09,100.259875,88.81618124999997,280.0659,204.69095624999997,673.8329124999999,0.3001828608372132,256.5877988302881,233.1501653256598,279.8730728005987,2.626129985805309,2.8901241033168588,2.407637525672525
Control,2023-11-10,100.259875,88.75224999999999,280.0659,204.115575,673.1936,0.2992305775190047,256.5877988302881,233.1501653256598,279.8730728005987,2.6236383922731363,2.887382040067163,2.4053532312471892
Control,2023-11-11,100.259875,88.75224999999999,280.0659,204.115575,673.1936,0.2992305775190047,256.5877988302881,233.1501653256598,279.8730728005987,2.6236383922731363,2.887382040067163,2.4053532312471892
Control,2023-11-12,100.27053020833334,88.79487083333332,280.0659,204.115575,673.2468760416666,0.2993099344621888,256.5877988302881,233.1501653256598,279.8730728005987,2.623846025067484,2.8876105453379712,2.4055435891159673
Control,2023-11-13,100.27053020833334,88.90142291666665,280.0659,204.115575,673.3534281249999,0.29946864834855685,256.5877988302881,233.1501653256598,279.8730728005987,2.6242612906561793,2.888067555879587,2.405924304853523
Control,2023-11-14,100.27053020833334,88.76290520833332,280.0659,204.115575,673.2149104166667,0.29926232029627853,256.5877988302881,233.1501653256598,279.8730728005987,2.623721445390876,2.887473442175487,2.405429374394701
Control,2023-11-15,100.259875,88.75224999999999,280.0659,204.115575,673.1936,0.2992305775190047,256.5877988302881,233.1501653256598,279.8730728005987,2.6236383922731363,2.887382040067163,2.4053532312471892
Control,2023-11-16,100.259875,88.75224999999999,280.00196874999995,204.115575,673.1296687499998,0.2991353491871837,256.5877988302881,233.1501653256598,279.8730728005987,2.6233892329199184,2.887107833742193,2.4051248018046554
Control,2023-11-17,100.259875,88.75224999999999,279.586415625,204.115575,672.714115625,0.2985163650303484,256.5877988302881,233.1501653256598,279.8730728005987,2.621769697124007,2.8853254926298915,2.4036400104281874
Control,2023-11-18,100.24921979166666,88.75224999999999,279.298725,204.115575,672.4157697916667,0.29807196614851783,256.5877988302881,233.1501653256598,279.8730728005987,2.6206069534756598,2.8840458631133665,2.402574006363031
Control,2023-11-19,100.23856458333331,88.75224999999999,279.298725,204.115575,672.4051145833332,0.2980560947598808,256.5877988302881,233.1501653256598,279.8730728005987,2.6205654269167895,2.8840001620592046,2.4025359347892747
Control,2023-11-20,100.163978125,88.75224999999999,279.298725,204.115575,672.330528125,0.29794499503942334,256.5877988302881,233.1501653256598,279.8730728005987,2.620274741004703,2.883680254680074,2.402269433772986
Control,2023-11-21,100.14266770833332,88.75224999999999,279.298725,204.115575,672.3092177083333,0.29791325226214976,256.5877988302881,233.1501653256598,279.8730728005987,2.620191687886964,2.8835888525717506,2.402193290625475
Control,2023-11-22,100.01480520833334,88.75224999999999,279.298725,204.115575,672.1813552083333,0.29772279559850806,256.5877988302881,233.1501653256598,279.8730728005987,2.6196933691805295,2.8830404399218117,2.401736431740408
Control,2023-11-23,100.02546041666668,88.74159479166666,279.298725,204.05164374999995,672.1174239583332,0.29762756726668704,256.5877988302881,233.1501653256598,279.8730728005987,2.619444209827312,2.8827662335968416,2.4015080022978736
Control,2023-11-24,100.259875,88.92273333333333,279.298725,204.115575,672.5969083333332,0.2983417797553434,256.5877988302881,233.1501653256598,279.8730728005987,2.6213129049764414,2.884822781034113,2.4032212231168755
Control,2023-11-25,100.163978125,88.75224999999999,279.298725,204.115575,672.330528125,0.29794499503942334,256.5877988302881,233.1501653256598,279.8730728005987,2.620274741004703,2.883680254680074,2.402269433772986
Control,2023-11-26,100.07873645833332,88.75224999999999,279.298725,204.019678125,672.1493895833333,0.29767518143259764,256.5877988302881,233.1501653256598,279.8730728005987,2.619568789503921,2.882903336759327,2.401622217019141
Control,2023-11-27,99.92956354166668,88.74159479166666,279.298725,203.8278843749999,671.7977677083333,0.29715142560758284,256.5877988302881,233.1501653256598,279.8730728005987,2.6181984130612257,2.8813952019719937,2.400365855085206
Control,2023-11-28,100.036115625,88.74159479166666,279.298725,203.763953125,671.8403885416667,0.2972149111621302,256.5877988302881,233.1501653256598,279.8730728005987,2.6183645192967044,2.8815780061886405,2.400518141380229
Control,2023-11-29,100.57953125,88.75224999999999,279.298725,204.115575,672.74608125,0.2985639791962588,256.5877988302881,233.1501653256598,279.8730728005987,2.6218942768006155,2.8854625957923763,2.4037542251494544
Control,2023-11-30,100.56887604166668,88.86945729166666,279.458553125,204.115575,673.0124614583333,0.298960763912179,256.5877988302881,233.1501653256598,279.8730728005987,2.622932440772354,2.886605122146416,2.404706014493344
Control,2023-12-01,101.59177604166666,88.96535416666666,280.09786562500005,204.115575,674.7705708333333,0.3015795430372524,256.5877988302881,233.1501653256598,279.8730728005987,2.629784322985829,2.8941457960830794,2.4109878241630174
Control,2023-12-02,102.13519166666666,88.95469895833332,280.92897187500006,204.81881875,676.8376812500001,0.30465859243279336,256.5877988302881,233.1501653256598,279.8730728005987,2.637840475406522,2.9030118005904297,2.4183737094716036
Control,2023-12-03,105.56616875,89.2637,282.367425,204.914715625,682.1120093750001,0.31251492980801343,256.5877988302881,233.1501653256598,279.8730728005987,2.6583961220469474,2.9256338224004206,2.4372191384806237
Control,2023-12-04,106.78086250000004,89.47680416666667,283.1346,205.617959375,685.0102260416667,0.3168319475172252,256.5877988302881,233.1501653256598,279.8730728005987,2.6696913460594636,2.9380645091323747,2.4475746065421458
Control,2023-12-05,117.93686562499998,99.29025104166668,284.79681249999993,205.64992499999997,707.6738541666665,0.3505903911477161,256.5877988302881,233.1501653256598,279.8730728005987,2.7580183367749886,3.0352706513340912,2.528552843920298
Control,2023-12-06,124.23409374999996,104.43671666666668,285.78774687500004,205.7777875,720.2363447916666,0.3693027583505133,256.5877988302881,233.1501653256598,279.8730728005987,2.8069781496821844,3.089152194190615,2.5734392293781463
Control,2023-12-07,148.68779687499998,112.23632916666664,289.367896875,206.4171,756.7091229166666,0.4236305216543079,256.5877988302881,233.1501653256598,279.8730728005987,2.9491235606926423,3.2455869025857624,2.703758226343552
Control,2023-12-08,149.45497187499998,120.53673645833332,292.66035625,207.184275,769.8363395833333,0.4431840724548557,256.5877988302881,233.1501653256598,279.8730728005987,3.0002842812199235,3.30189060131285,2.7506624052104462
Control,2023-12-09,144.04212604166668,125.161096875,293.203771875,207.184275,769.5912697916666,0.44281903051620913,256.5877988302881,233.1501653256598,279.8730728005987,2.9993291703659244,3.3008394770671337,2.749786759014068
Control,2023-12-10,139.44973125,123.55216041666664,293.87504999999993,207.184275,764.0612166666666,0.43458177981370566,256.5877988302881,233.1501653256598,279.8730728005987,2.9777768863126295,3.2771206299572646,2.730027612234913
Control,2023-12-11,135.67778749999997,121.35718749999998,293.87504999999993,207.184275,758.0942999999999,0.4256938021770929,256.5877988302881,233.1501653256598,279.8730728005987,2.954522013345683,3.25152803962677,2.7087075309317794
Control,2023-12-12,133.504125,119.471215625,293.81111874999993,207.695725,754.482184375,0.42031340142921503,256.5877988302881,233.1501653256598,279.8730728005987,2.9404445098889074,3.236035382265989,2.6958012674286325
Control,2023-12-13,131.27718645833332,117.71310625,293.49146249999995,207.95144999999997,750.4332052083332,0.41428227374722776,256.5877988302881,233.1501653256598,279.8730728005987,2.9246644175184793,3.2186689816845813,2.6813340694015055
Control,2023-12-14,128.83714375,116.0615489583333,293.139840625,207.95144999999997,745.9899833333332,0.40766390468567865,256.5877988302881,233.1501653256598,279.8730728005987,2.907347842469878,3.199611642099195,2.665458223145422
Control,2023-12-15,126.49299791666664,114.46326770833332,293.1718062499999,207.95144999999997,742.079521875,0.4018391050559702,256.5877988302881,233.1501653256598,279.8730728005987,2.892107595364755,3.182839355221889,2.6514859555771184
Control,2023-12-16,120.64328854166668,119.58842291666664,316.82636875,204.3713,761.4293802083333,0.4306615468204141,256.5877988302881,233.1501653256598,279.8730728005987,2.9675198262718516,3.26583246957935,2.7206239335172815
Control,2023-12-17,115.75254791666669,122.78498541666666,333.76814999999993,201.81405,774.1197333333332,0.44956437068685257,256.5877988302881,233.1501653256598,279.8730728005987,3.0169779578854814,3.320262425085812,2.765967177860196
Control,2023-12-18,113.28053958333336,121.14408333333336,333.06490625,201.81405,769.3035791666666,0.4423905030230153,256.5877988302881,233.1501653256598,279.8730728005987,2.9982079532764465,3.2996055486047706,2.748758826522667
Control,2023-12-19,110.89377291666668,119.50318125,332.2338,201.3026,763.9333541666666,0.434391323150064,256.5877988302881,233.1501653256598,279.8730728005987,2.977278567606195,3.2765722173073253,2.7295707533498463
Control,2023-12-20,109.31680208333331,118.2032458333333,332.2338,201.11080625,760.8646541666666,0.4298203632226631,256.5877988302881,233.1501653256598,279.8730728005987,2.9653189186517657,3.263410313708785,2.7186061401082346
